item_id	コイン名	国	素材	年号	グレード	認定機関	ステータス	コメント	URL	更新日
noble_141_2026_apr_276	Elizabeth II, mint sets, 1980, 1985, 1988 (2), 1990, 1996, 1999, 2000. All in wallets or packs of issue, uncirculated....	UNKNOWN	gold	1980			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/276	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_286	Elizabeth II, mint sets, 1986, 1988, 1989, 1991; proof set, 1989. Uncirculated or FDC. (6)	UNKNOWN	gold	1986			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/286	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_462	Elizabeth II, Perth Mint, twenty five dollars, commemorative sovereign in .916 fine gold, 2011. In case of issue with...	GB	gold	2011			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥32,000 (2026-02-01 / グレード不明)。 現在入札額¥256,500で仕入上限¥175,884。想定利益¥-54,050(ROI -23.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/462	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_531	Silver coins for display with nineteenth century mount, suitable for viewing on a table or desk; Russia rouble, 1858;...	UNKNOWN	gold	1858			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥127,000 (2025-04-27 / MS63)。 現在入札額¥522,500で仕入上限¥360,874。想定利益¥-107,250(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/531	2026-04-03T17:49:32.785489+00:00
noble_141_2026_apr_533	Red stone, set in shield shape gold plate metal surround suspending half sovereigns Queen Victoria 1885, 1894, and...	GB	gold	1885			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥32,000 (2026-02-01 / グレード不明)。 現在入札額¥617,500で仕入上限¥426,943。想定利益¥-126,250(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/533	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_581	India, Madras Presidency, gold pagoda (1720-1807) (3.45g) (KM.304). Nearly extremely fine.Ex Paul Ware Collection.	UNKNOWN	gold	1720			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/581	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_582	India, Madras Presidency, gold pagoda (1740-1807) (KM.304). Good very fine.Ex Paul Ware Collection.	UNKNOWN	gold	1740			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/582	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_583	India, Madras Presidency, gold star pagoda, (1740-1807) (KM.303). Nearly extremely fine.Ex Paul Ware Collection.	UNKNOWN	gold	1740			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/583	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_591	Netherlands, Holland Province, gold ducat, 1776 (KM.12.2). Good very fine.Ex Paul Ware Collection.	UNKNOWN	gold	1776			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/591	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1351	China, Republic, [PCGS MS65] silver dollar, Year 23(1934), 'Junk' (LM-110), with evenly rim toning, good mint luster....	UNKNOWN	silver	1934	MS65	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥136,000 (2026-03-16 / グレード不明)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1351	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1351	China, Republic, [PCGS MS65] silver dollar, Year 23(1934), 'Junk' (LM-110), with evenly rim toning, good mint luster....	UNKNOWN	silver	1934	MS65	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥136,000 (2026-03-16 / グレード不明)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1351	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1394	China, Taiwan, [PCGS MS66] silver 5 chiao, Year 38 (1949), (LM-330), Cert. #53991737.   Estimate: HK$900.00  -...	UNKNOWN	silver	1949	MS66	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥14,000 (2025-12-06 / MS68)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1394	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1394	China, Taiwan, [PCGS MS66] silver 5 chiao, Year 38 (1949), (LM-330), Cert. #53991737.   Estimate: HK$900.00  -...	UNKNOWN	silver	1949	MS66	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥14,000 (2025-12-06 / MS68)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1394	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1403	Republic of China, order of the golden grain, 1912, diameter 50mm, 31.34g, remounted, not original mount, about...	UNKNOWN	gold	1912			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥20,500 (2025-04-13 / G)。 現在入札額¥950,000で仕入上限¥658,181。想定利益¥-192,750(ROI -22.5%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1403	2026-04-03T17:49:32.785489+00:00
spink_css123_hk_2026_apr_1404	Republic of China, order of the golden grain, 1912, Class III, 56.83g, diameter 61mm, with orange ribban, about...	UNKNOWN	gold	1912			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥20,500 (2025-04-13 / G)。 現在入札額¥418,000で仕入上限¥288,200。想定利益¥-86,350(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1404	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1405	Republic of China, order of the golden grain, class II, Year 8 (1919), 73,433g, diameter 87mm with some oxidation,...	UNKNOWN	gold	1919			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥20,500 (2025-04-13 / G)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1405	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1408	People's Republic of China, [NGC PF 69UC] gold proof 400 yuan, 1981, "Xinhai Revolution 70th Anniversary - 1911" .916...	UNKNOWN	gold	1981		NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥45,500 (2025-08-26 / グレード不明)。 現在入札額¥950,000で仕入上限¥658,181。想定利益¥-192,750(ROI -22.5%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1408	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1409	People's Republic of China, [NGC PF69 UC] silver proof 35 yuan, 1981, "Xinhai Revolution 70th Anniversary - 1911" .925...	UNKNOWN	silver	1981	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥380,000で仕入上限¥261,772。想定利益¥-78,750(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1409	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1409	People's Republic of China, [NGC PF69 UC] silver proof 35 yuan, 1981, "Xinhai Revolution 70th Anniversary - 1911" .925...	UNKNOWN	silver	1981	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥380,000で仕入上限¥261,772。想定利益¥-78,750(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1409	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1411	People's Republic of China, set of gold proof 400 Yuan and silver proof 35 Yuan, 1981, "Xinhai Revolution 70th...	UNKNOWN	gold	1981			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥45,500 (2025-08-26 / グレード不明)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1411	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1414	People's Republic of China, [NGC PF69 UC] silver proof 20 yuan, 1982, "Year of Dog", 15g, .850 fineness,#8428388-002.  ...	UNKNOWN	silver	1982	PF69	NGC	OBSERVATION	グレード差あり (GRADE_DELTA: 本品PF69/参照?)。Yahoo参照¥45,500 (2025-08-26 / グレード不明)。 現在入札額¥950,000で仕入上限¥658,181。想定利益¥-192,750(ROI -22.5%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1414	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1414	People's Republic of China, [NGC PF69 UC] silver proof 20 yuan, 1982, "Year of Dog", 15g, .850 fineness,#8428388-002.  ...	UNKNOWN	silver	1982	PF69	NGC	OBSERVATION	グレード差あり (GRADE_DELTA: 本品PF69/参照?)。Yahoo参照¥45,500 (2025-08-26 / グレード不明)。 現在入札額¥950,000で仕入上限¥658,181。想定利益¥-192,750(ROI -22.5%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1414	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1416	People's Republic of China, [NGC PF69 UC] silver proof 10 yuan, 1983, "Year of Pig", 15g, .850 fineness,#8428388-001.  ...	UNKNOWN	silver	1983	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1416	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1416	People's Republic of China, [NGC PF69 UC] silver proof 10 yuan, 1983, "Year of Pig", 15g, .850 fineness,#8428388-001.  ...	UNKNOWN	silver	1983	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1416	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1423	People's Republic of China, [PCGS MS70] silver 5 yuan, 1986, Panda, "WWF 25th Anniversary", .900 fineness, weigh 22g,...	UNKNOWN	silver	1986	MS70	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥23,501 (2026-01-21 / PF70UC)。 現在入札額¥190,000で仕入上限¥129,636。想定利益¥-40,750(ROI -23.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1423	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1423	People's Republic of China, [PCGS MS70] silver 5 yuan, 1986, Panda, "WWF 25th Anniversary", .900 fineness, weigh 22g,...	UNKNOWN	silver	1986	MS70	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥23,501 (2026-01-21 / PF70UC)。 現在入札額¥190,000で仕入上限¥129,636。想定利益¥-40,750(ROI -23.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1423	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1427	People's Republic of China, a pair, 1988, "Year of Dragon", includding gold proof 150 yuan and silver proof 10 yuan,...	UNKNOWN	gold	1988			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥25,100 (2025-08-25 / PF67)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1427	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1429	People's Republic of China, a pair, 1989, "Year of Snake", includes gold proof 150 yuan and silver proof 10 yuan, gold...	UNKNOWN	gold	1989			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥25,100 (2025-08-25 / PF67)。 現在入札額¥285,000で仕入上限¥195,704。想定利益¥-59,750(ROI -23.3%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1429	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1431	People's Republic of China, a pair, 1990, "Year of Horse", includes gold proof 150 yuan and silver proof 10 yuan, gold...	UNKNOWN	gold	1990			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥25,100 (2025-08-25 / PF67)。 現在入札額¥380,000で仕入上限¥261,772。想定利益¥-78,750(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1431	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1433	People's Republic of China, a pair, 1991, "Year of Goat", includes gold proof 150 yuan and silver proof 10 yuan, gold...	UNKNOWN	gold	1991			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥25,100 (2025-08-25 / PF67)。 現在入札額¥760,000で仕入上限¥526,045。想定利益¥-154,750(ROI -22.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1433	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1434	People's Republic of China, a pair, 1992, "Year of Monkey", includes gold proof 150 yuan and silver proof 10 yuan, gold...	UNKNOWN	gold	1992			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥136,000 (2026-03-16 / グレード不明)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1434	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1443	People's Republic of China, a pair of bi-metal silver and gold 10 and 50 yuan, 1994 Dragon & Phoenix and 1995 U.N....	UNKNOWN	gold	1994			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥136,000 (2026-03-16 / グレード不明)。 現在入札額¥380,000で仕入上限¥261,772。想定利益¥-78,750(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1443	2026-04-03T17:49:15.355301+00:00
spink_css123_hk_2026_apr_1448	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1997, Year of the Ox commemorative...	UNKNOWN	silver	1997	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1448	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1448	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1997, Year of the Ox commemorative...	UNKNOWN	silver	1997	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥570,000で仕入上限¥393,909。想定利益¥-116,750(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1448	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1449	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1997, Year of the Ox commemorative...	UNKNOWN	silver	1997	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥380,000で仕入上限¥261,772。想定利益¥-78,750(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1449	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1449	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1997, Year of the Ox commemorative...	UNKNOWN	silver	1997	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥380,000で仕入上限¥261,772。想定利益¥-78,750(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1449	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1450	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1998, Year of the Tiger commemorative...	UNKNOWN	silver	1998	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥950,000で仕入上限¥658,181。想定利益¥-192,750(ROI -22.5%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1450	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1450	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1998, Year of the Tiger commemorative...	UNKNOWN	silver	1998	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥950,000で仕入上限¥658,181。想定利益¥-192,750(ROI -22.5%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1450	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1451	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1998, Year of the Tiger commemorative...	UNKNOWN	silver	1998	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥627,000で仕入上限¥433,549。想定利益¥-128,150(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1451	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1451	People's Republic of China, [NGC PF69 Ultra Cameo] silver proof piedfort 10 yuan, 1998, Year of the Tiger commemorative...	UNKNOWN	silver	1998	PF69	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥28,500 (2025-12-01 / PF69UC)。 現在入札額¥627,000で仕入上限¥433,549。想定利益¥-128,150(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1451	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1452	People's Republic of China, [NGC PF68 Ultra Cameo] silver proof scallop 10 yuan, 1998, Year of the Tiger commemorative...	UNKNOWN	silver	1998	PF68	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥14,000 (2025-12-06 / MS68)。 現在入札額¥665,000で仕入上限¥459,977。想定利益¥-135,750(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1452	2026-04-03T10:19:48.610734+00:00
spink_css123_hk_2026_apr_1452	People's Republic of China, [NGC PF68 Ultra Cameo] silver proof scallop 10 yuan, 1998, Year of the Tiger commemorative...	UNKNOWN	silver	1998	PF68	NGC	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥14,000 (2025-12-06 / MS68)。 現在入札額¥665,000で仕入上限¥459,977。想定利益¥-135,750(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10494/lot/1452	2026-04-03T16:13:08.459948+00:00
