item_id	コイン名	国	素材	年号	グレード	認定機関	判定	ステータス	証拠状況	コメント	URL	更新日
noble_141_2026_apr_292	Elizabeth II, mint gold two hundred dollars, 1980 Koala. In wallets of issue, uncirculated. (2)	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥351,500で仕入上限¥241,952。想定利益¥-73,050(ROI -23.1%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/292	2026-04-03T16:56:33.410879+00:00
noble_141_2026_apr_293	Elizabeth II, mint gold two hundred dollars, 1980. In wallets of issue, uncirculated. (8)	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥190,000で仕入上限¥129,636。想定利益¥-40,750(ROI -23.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/293	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_294	Elizabeth II, mint gold two hundred dollars, 1980. In wallets of issue, uncirculated. (20)	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥855,000で仕入上限¥592,113。想定利益¥-173,750(ROI -22.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/294	2026-04-03T17:49:32.785489+00:00
noble_141_2026_apr_295	Elizabeth II, mint gold two hundred dollars, 1981, Royal Wedding. In wallet of issue, uncirculated.	UNKNOWN	gold	1981			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥608,000で仕入上限¥420,336。想定利益¥-124,350(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/295	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_296	Elizabeth II, mint gold two hundred dollars, 1981, Royal Wedding. One only in pack of issue, uncirculated. (5)	UNKNOWN	gold	1981			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/296	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_297	Elizabeth II, mint gold two hundred dollars, 1981, Royal Wedding. In wallets of issue, one only small typeface,...	UNKNOWN	gold	1981			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥912,000で仕入上限¥631,754。想定利益¥-185,150(ROI -22.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/297	2026-04-03T17:49:32.785489+00:00
noble_141_2026_apr_298	Elizabeth II, mint gold two hundred dollars, 1982, XII Commonwealth Games, Brisbane. In wallets of issue, uncirculated....	UNKNOWN	gold	1982			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥608,000で仕入上限¥420,336。想定利益¥-124,350(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/298	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_299	Elizabeth II, mint gold two hundred dollars, 1983. In wallet of issue, uncirculated.	UNKNOWN	gold	1983			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/299	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_300	Elizabeth II, mint gold two hundred dollars, 1983. In wallets of issue, uncirculated. (6)	UNKNOWN	gold	1983			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/300	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_301	Elizabeth II, mint gold two hundred dollars, 1984 (3), 1985. In packs of issue, uncirculated. (4)	UNKNOWN	gold	1984			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥513,000で仕入上限¥354,268。想定利益¥-105,350(ROI -22.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/301	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_302	Elizabeth II, mint gold two hundred dollars, 1985. In pack of issue, uncirculated.	UNKNOWN	gold	1985			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥190,000で仕入上限¥129,636。想定利益¥-40,750(ROI -23.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/302	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_303	Elizabeth II, mint gold two hundred dollars, 1987. In pack of issue, outer sleeve bent, uncirculated.	UNKNOWN	gold	1987			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/303	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_304	Elizabeth II, mint gold two hundred dollars 1989, 1990 and 1991 Pride of Australia series. In packs of issue,...	AU	gold	1989			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/304	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_305	Elizabeth II, mint gold two hundred dollars, 1990 (platypus). Set in gold surround mount with fine gold chain as...	UNKNOWN	gold	1990			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥42,750で仕入上限¥14,295。想定利益¥-11,300(ROI -29.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/305	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_306	Elizabeth II, mint gold two hundred dollars, 1992. In pack of issue, uncirculated.	UNKNOWN	gold	1992			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/306	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_360	Elizabeth II, PNC, Elizabeth II Golden Jubilee fifty cents, 2003; USA, Bicentennial First Day Cover with five dollar...	US	gold	2003			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/360	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_361	Elizabeth II, carded fifty gold plated fifty cents coin, 2018, PNC with commemorative fifty cents, 2003; one dollar...	UNKNOWN	gold	2018			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/361	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_387	Elizabeth II, proof gold two hundred dollars, 1980 (2), 1983, mint issue 1981 (Royal Wedding). In cases and wallet of...	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥684,000で仕入上限¥473,190。想定利益¥-139,550(ROI -22.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/387	2026-04-03T17:49:32.785489+00:00
noble_141_2026_apr_410	Elizabeth II, proof gold two hundred dollars, 1980 Koala. In case of issue, FDC.	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/410	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_411	Elizabeth II, proof gold two hundred dollars, 1980 Koala. In case of issue, FDC.	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥171,000で仕入上限¥116,422。想定利益¥-36,950(ROI -24.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/411	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_412	Elizabeth II, proof gold two hundred dollars, 1980. In case of issue, FDC.	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥166,250で仕入上限¥113,119。想定利益¥-36,000(ROI -24.1%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/412	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_413	Elizabeth II, proof gold two hundred dollars, 1980, 1982, 1985. In cases of issue, FDC. (3)	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥456,000で仕入上限¥314,627。想定利益¥-93,950(ROI -22.9%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/413	2026-04-03T17:49:32.785489+00:00
noble_141_2026_apr_414	Elizabeth II, proof gold two hundred dollars, 1982. In cases of issue with certificates, FDC. (2)	UNKNOWN	gold	1982			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥342,000で仕入上限¥235,345。想定利益¥-71,150(ROI -23.1%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/414	2026-04-03T16:56:33.410879+00:00
noble_141_2026_apr_415	Elizabeth II, proof gold two hundred dollars, 1983. In cases of issue with certificates, FDC. (2)	UNKNOWN	gold	1983			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥342,000で仕入上限¥235,345。想定利益¥-71,150(ROI -23.1%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/415	2026-04-03T16:56:33.410879+00:00
noble_141_2026_apr_416	Elizabeth II, proof gold two hundred dollars, 1984. In cases of issue, FDC. (10)	UNKNOWN	gold	1984			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥342,000で仕入上限¥235,345。想定利益¥-71,150(ROI -23.1%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/416	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_417	Elizabeth II, proof gold two hundred dollars, 1986. In cases of issue with certificates, FDC. (2)	UNKNOWN	gold	1986			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥190,000で仕入上限¥129,636。想定利益¥-40,750(ROI -23.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/417	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_418	Elizabeth II, proof gold two hundred dollars, First Fleet, 1987. Uncirculated.	UNKNOWN	gold	1987			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥26,600で仕入上限¥1,081。想定利益¥-8,070(ROI -33.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/418	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_460	Elizabeth II, 1/10th ounce proof gold fifteen dollars, 2009, Year of the Ox. FDC.	UNKNOWN	gold	2009			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/460	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_461	Elizabeth II, Perth Mint one dollar, Eureka Stockade locket coin with gold flakes in middle, 2004. In case of issue,...	UNKNOWN	gold	2004			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥128,250で仕入上限¥84,250。想定利益¥-28,400(ROI -24.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/461	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_464	Elizabeth II, Perth Mint, proof-like five dollars in 24 carat gold, 1997, Princess Diana commemorative issue, Cook...	UNKNOWN	gold	1997			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥285,000で仕入上限¥195,704。想定利益¥-59,750(ROI -23.3%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/464	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_472	Elizabeth II, Perth Mint, proof half ounce platinum koala, 2004. In case of issue, No. 12 ignot, FDC.	UNKNOWN	platinum	2004			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥285,000で仕入上限¥195,704。想定利益¥-59,750(ROI -23.3%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/472	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_536	South Africa, Republic, krugerrand, 1974 (KM.73). Held in a detachable ornate surround frame (gold plated), otherwise...	UNKNOWN	gold	1974			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥95,000で仕入上限¥57,045。想定利益¥-21,750(ROI -25.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/536	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_556	Antique pocket watch, in 18ct gold, case by Ralph Samuels, hallmarked Chester, 1857 (c.91 g), faint inscriptions around...	DE	gold	1857			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥47,500で仕入上限¥18,181。想定利益¥-12,250(ROI -28.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/556	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_580	India, Princely State, Mysore, Haider Ali (1761-1782) gold pagoda (3.41g) (F.1346). Good very fine.Ex Paul Ware...	UNKNOWN	gold	1761			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/580	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_594	Netherlands, Utrecht, silver half ducatoon or rider, 1769 (KM.115). Attractively toned, nearly uncirculated.Ex Noble...	UNKNOWN	gold	1769			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥47,500で仕入上限¥18,181。想定利益¥-12,250(ROI -28.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/594	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_598	New South Wales, fifteen pence or dump, 1813 (Mira dies A/1). Trace of centre of the reverse of host coin on the...	UNKNOWN	gold	1813			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/598	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_599	New South Wales, fifteen pence or dump, 1813 (Mira dies A/1). Traces of the reverse of host coin on obverse, attractive...	UNKNOWN	gold	1813			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥95,000で仕入上限¥57,045。想定利益¥-21,750(ROI -25.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/599	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_894	Transvaal War, 1899-1900, to Commemorate the Departure of Australian Volunteers, in gold (375 on edge, 12.71g, 30mm) by...	AU	gold	1899			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥95,000で仕入上限¥57,045。想定利益¥-21,750(ROI -25.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/894	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_911	MSFA, in 9 carat gold (8.54g) '1920/1st Leag. 2nd Div/Gladesville/J. Lyon'. Nearly extremely fine.	UNKNOWN	gold	1920			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥57,000で仕入上限¥25,954。想定利益¥-14,150(ROI -27.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/911	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_912	M.S.F.A. (Metropolitan Sydney Football Association), 'Leichhardt Jnrs/All Age/H. Papps/1925' in 9 carat gold by W. Kerr...	UNKNOWN	gold	1925			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥142,500で仕入上限¥95,909。想定利益¥-31,250(ROI -24.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/912	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_921	NSW Railway Ambulance Corps, in enamelled 9 carat gold Efficient 1939 (G.H. Mason), 1934 (E. Brown), 1935 (A.C....	UNKNOWN	gold	1939			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥209,000で仕入上限¥142,850。想定利益¥-44,550(ROI -23.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/921	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_927	Captain James Cook, 200th Anniversary, 1970, in gold (18 carat, 32 and 44mm) by the Royal Australian Mint for Matthey...	AU	gold	1970			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/927	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_931	Royal Visit 1973, Opening of the Sydney Opera House, in gold (38mm, 18 ct, 23.5 g each), set of two edge numbered 0987...	UNKNOWN	gold	1973			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥33,250で仕入上限¥6,522。想定利益¥-9,400(ROI -31.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/931	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_932	Royal Visit 1973, Opening of the Sydney Opera House, in gold (18 ct, 23.5 g each), set of two edge numbered 0986 by...	UNKNOWN	gold	1973			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/932	2026-04-03T16:13:08.459948+00:00
spink_css123_hk_2026_apr_1479	People's Republic of China, [NGC PF69 UC] silver proof 50 yuan, 2016, 'Panda', #4538822-002.   Estimate: HK$3,300.00  -...	UNKNOWN	silver	2016	PF69	NGC	CAP_BUY	INVESTIGATION	スラブ未確認	[CAP品質管理 2026-04-04] Yahoo参照エラー: 異なる銘柄・シリーズ・製品を参照。比較不能のため再調査必要。	https://www.numisbids.com/sale/10494/lot/1479	2026-04-03T16:16:46.734119+00:00
spink_css123_hk_2026_apr_1480	People's Bank of China, [NGC PF69 UC] proof colourised silver 50 yuan, 2016, "Year of Monkey", 5oz, .999...	UNKNOWN	silver	2016	PF69	NGC	CAP_BUY	INVESTIGATION	スラブ未確認	[CAP品質管理 2026-04-04] Yahoo参照エラー: 異なる銘柄・シリーズ・製品を参照。比較不能のため再調査必要。	https://www.numisbids.com/sale/10494/lot/1480	2026-04-03T16:16:46.734119+00:00
